STEPS	|   PROCESS			|  A	|  B  |
326	|  POURING A TO B 		|  24020	|  2999  |
327	|  EMPTYING B 			|  24020	|  0  |
328	|  POURING A TO B 		|  21021	|  2999  |
329	|  EMPTYING B 			|  21021	|  0  |
330	|  POURING A TO B 		|  18022	|  2999  |
331	|  EMPTYING B 			|  18022	|  0  |
332	|  POURING A TO B 		|  15023	|  2999  |
333	|  EMPTYING B 			|  15023	|  0  |
334	|  POURING A TO B 		|  12024	|  2999  |
335	|  EMPTYING B 			|  12024	|  0  |
336	|  POURING A TO B 		|  9025	|  2999  |
337	|  EMPTYING B 			|  9025	|  0  |
338	|  POURING A TO B 		|  6026	|  2999  |
339	|  EMPTYING B 			|  6026	|  0  |
340	|  POURING A TO B 		|  3027	|  2999  |
341	|  EMPTYING B 			|  3027	|  0  |
342	|  POURING A TO B 		|  28	|  2999  |
343	|  EMPTYING B 			|  28	|  0  |
344	|  POURING A TO B 		|  0	|  28  |
345	|  FILLING A FULLY		|  39989	|  28  |
346	|  POURING A TO B 		|  37018	|  2999  |
347	|  EMPTYING B 			|  37018	|  0  |
348	|  POURING A TO B 		|  34019	|  2999  |
349	|  EMPTYING B 			|  34019	|  0  |
350	|  POURING A TO B 		|  31020	|  2999  |
351	|  EMPTYING B 			|  31020	|  0  |
352	|  POURING A TO B 		|  28021	|  2999  |
353	|  EMPTYING B 			|  28021	|  0  |
354	|  POURING A TO B 		|  25022	|  2999  |
355	|  EMPTYING B 			|  25022	|  0  |
356	|  POURING A TO B 		|  22023	|  2999  |
357	|  EMPTYING B 			|  22023	|  0  |
358	|  POURING A TO B 		|  19024	|  2999  |
359	|  EMPTYING B 			|  19024	|  0  |
360	|  POURING A TO B 		|  16025	|  2999  |
361	|  EMPTYING B 			|  16025	|  0  |
362	|  POURING A TO B 		|  13026	|  2999  |
363	|  EMPTYING B 			|  13026	|  0  |
364	|  POURING A TO B 		|  10027	|  2999  |
365	|  EMPTYING B 			|  10027	|  0  |
366	|  POURING A TO B 		|  7028	|  2999  |
367	|  EMPTYING B 			|  7028	|  0  |
368	|  POURING A TO B 		|  4029	|  2999  |
369	|  EMPTYING B 			|  4029	|  0  |
370	|  POURING A TO B 		|  1030	|  2999  |
371	|  EMPTYING B 			|  1030	|  0  |
372	|  POURING A TO B 		|  0	|  1030  |
373	|  FILLING A FULLY		|  39989	|  1030  |
374	|  POURING A TO B 		|  38020	|  2999  |
375	|  EMPTYING B 			|  38020	|  0  |
376	|  POURING A TO B 		|  35021	|  2999  |
377	|  EMPTYING B 			|  35021	|  0  |
378	|  POURING A TO B 		|  32022	|  2999  |
379	|  EMPTYING B 			|  32022	|  0  |
380	|  POURING A TO B 		|  29023	|  2999  |
381	|  EMPTYING B 			|  29023	|  0  |
382	|  POURING A TO B 		|  26024	|  2999  |
383	|  EMPTYING B 			|  26024	|  0  |
