STEPS	|   PROCESS			|  A	|  B  |
25129	|  EMPTYING B 			|  18041	|  0  |
25130	|  POURING A TO B 		|  15042	|  2999  |
25131	|  EMPTYING B 			|  15042	|  0  |
25132	|  POURING A TO B 		|  12043	|  2999  |
25133	|  EMPTYING B 			|  12043	|  0  |
25134	|  POURING A TO B 		|  9044	|  2999  |
25135	|  EMPTYING B 			|  9044	|  0  |
25136	|  POURING A TO B 		|  6045	|  2999  |
25137	|  EMPTYING B 			|  6045	|  0  |
25138	|  POURING A TO B 		|  3046	|  2999  |
25139	|  EMPTYING B 			|  3046	|  0  |
25140	|  POURING A TO B 		|  47	|  2999  |
25141	|  EMPTYING B 			|  47	|  0  |
25142	|  POURING A TO B 		|  0	|  47  |
25143	|  FILLING A FULLY		|  39989	|  47  |
25144	|  POURING A TO B 		|  37037	|  2999  |
25145	|  EMPTYING B 			|  37037	|  0  |
25146	|  POURING A TO B 		|  34038	|  2999  |
25147	|  EMPTYING B 			|  34038	|  0  |
25148	|  POURING A TO B 		|  31039	|  2999  |
25149	|  EMPTYING B 			|  31039	|  0  |
25150	|  POURING A TO B 		|  28040	|  2999  |
25151	|  EMPTYING B 			|  28040	|  0  |
25152	|  POURING A TO B 		|  25041	|  2999  |
25153	|  EMPTYING B 			|  25041	|  0  |
25154	|  POURING A TO B 		|  22042	|  2999  |
25155	|  EMPTYING B 			|  22042	|  0  |
25156	|  POURING A TO B 		|  19043	|  2999  |
25157	|  EMPTYING B 			|  19043	|  0  |
25158	|  POURING A TO B 		|  16044	|  2999  |
25159	|  EMPTYING B 			|  16044	|  0  |
25160	|  POURING A TO B 		|  13045	|  2999  |
25161	|  EMPTYING B 			|  13045	|  0  |
25162	|  POURING A TO B 		|  10046	|  2999  |
25163	|  EMPTYING B 			|  10046	|  0  |
25164	|  POURING A TO B 		|  7047	|  2999  |
25165	|  EMPTYING B 			|  7047	|  0  |
25166	|  POURING A TO B 		|  4048	|  2999  |
25167	|  EMPTYING B 			|  4048	|  0  |
25168	|  POURING A TO B 		|  1049	|  2999  |
25169	|  EMPTYING B 			|  1049	|  0  |
25170	|  POURING A TO B 		|  0	|  1049  |
25171	|  FILLING A FULLY		|  39989	|  1049  |
25172	|  POURING A TO B 		|  38039	|  2999  |
25173	|  EMPTYING B 			|  38039	|  0  |
25174	|  POURING A TO B 		|  35040	|  2999  |
25175	|  EMPTYING B 			|  35040	|  0  |
25176	|  POURING A TO B 		|  32041	|  2999  |
25177	|  EMPTYING B 			|  32041	|  0  |
25178	|  POURING A TO B 		|  29042	|  2999  |
25179	|  EMPTYING B 			|  29042	|  0  |
25180	|  POURING A TO B 		|  26043	|  2999  |
25181	|  EMPTYING B 			|  26043	|  0  |
25182	|  POURING A TO B 		|  23044	|  2999  |
25183	|  EMPTYING B 			|  23044	|  0  |
25184	|  POURING A TO B 		|  20045	|  2999  |
25185	|  EMPTYING B 			|  20045	|  0  |
25186	|  POURING A TO B 		|  17046	|  2999  |
25187	|  EMPTYING B 			|  17046	|  0  |
25188	|  POURING A TO B 		|  14047	|  2999  |
25189	|  EMPTYING B 			|  14047	|  0  |
25190	|  POURING A TO B 		|  11048	|  2999  |
25191	|  EMPTYING B 			|  11048	|  0  |
25192	|  POURING A TO B 		|  8049	|  2999  |
25193	|  EMPTYING B 			|  8049	|  0  |
25194	|  POURING A TO B 		|  5050	|  2999  |
25195	|  EMPTYING B 			|  5050	|  0  |
25196	|  POURING A TO B 		|  2051	|  2999  |
25197	|  EMPTYING B 			|  2051	|  0  |
25198	|  POURING A TO B 		|  0	|  2051  |
25199	|  FILLING A FULLY		|  39989	|  2051  |
25200	|  POURING A TO B 		|  39041	|  2999  |
25201	|  EMPTYING B 			|  39041	|  0  |
25202	|  POURING A TO B 		|  36042	|  2999  |
25203	|  EMPTYING B 			|  36042	|  0  |
25204	|  POURING A TO B 		|  33043	|  2999  |
25205	|  EMPTYING B 			|  33043	|  0  |
25206	|  POURING A TO B 		|  30044	|  2999  |
25207	|  EMPTYING B 			|  30044	|  0  |
25208	|  POURING A TO B 		|  27045	|  2999  |
25209	|  EMPTYING B 			|  27045	|  0  |
25210	|  POURING A TO B 		|  24046	|  2999  |
25211	|  EMPTYING B 			|  24046	|  0  |
25212	|  POURING A TO B 		|  21047	|  2999  |
25213	|  EMPTYING B 			|  21047	|  0  |
25214	|  POURING A TO B 		|  18048	|  2999  |
25215	|  EMPTYING B 			|  18048	|  0  |
25216	|  POURING A TO B 		|  15049	|  2999  |
25217	|  EMPTYING B 			|  15049	|  0  |
25218	|  POURING A TO B 		|  12050	|  2999  |
25219	|  EMPTYING B 			|  12050	|  0  |
25220	|  POURING A TO B 		|  9051	|  2999  |
25221	|  EMPTYING B 			|  9051	|  0  |
25222	|  POURING A TO B 		|  6052	|  2999  |
25223	|  EMPTYING B 			|  6052	|  0  |
25224	|  POURING A TO B 		|  3053	|  2999  |
25225	|  EMPTYING B 			|  3053	|  0  |
25226	|  POURING A TO B 		|  54	|  2999  |
25227	|  EMPTYING B 			|  54	|  0  |
25228	|  POURING A TO B 		|  0	|  54  |
25229	|  FILLING A FULLY		|  39989	|  54  |
25230	|  POURING A TO B 		|  37044	|  2999  |
25231	|  EMPTYING B 			|  37044	|  0  |
25232	|  POURING A TO B 		|  34045	|  2999  |
25233	|  EMPTYING B 			|  34045	|  0  |
25234	|  POURING A TO B 		|  31046	|  2999  |
25235	|  EMPTYING B 			|  31046	|  0  |
25236	|  POURING A TO B 		|  28047	|  2999  |
25237	|  EMPTYING B 			|  28047	|  0  |
25238	|  POURING A TO B 		|  25048	|  2999  |
25239	|  EMPTYING B 			|  25048	|  0  |
25240	|  POURING A TO B 		|  22049	|  2999  |
25241	|  EMPTYING B 			|  22049	|  0  |
25242	|  POURING A TO B 		|  19050	|  2999  |
25243	|  EMPTYING B 			|  19050	|  0  |
25244	|  POURING A TO B 		|  16051	|  2999  |
25245	|  EMPTYING B 			|  16051	|  0  |
25246	|  POURING A TO B 		|  13052	|  2999  |
25247	|  EMPTYING B 			|  13052	|  0  |
25248	|  POURING A TO B 		|  10053	|  2999  |
25249	|  EMPTYING B 			|  10053	|  0  |
25250	|  POURING A TO B 		|  7054	|  2999  |
25251	|  EMPTYING B 			|  7054	|  0  |
25252	|  POURING A TO B 		|  4055	|  2999  |
25253	|  EMPTYING B 			|  4055	|  0  |
25254	|  POURING A TO B 		|  1056	|  2999  |
25255	|  EMPTYING B 			|  1056	|  0  |
25256	|  POURING A TO B 		|  0	|  1056  |
25257	|  FILLING A FULLY		|  39989	|  1056  |
25258	|  POURING A TO B 		|  38046	|  2999  |
25259	|  EMPTYING B 			|  38046	|  0  |
25260	|  POURING A TO B 		|  35047	|  2999  |
25261	|  EMPTYING B 			|  35047	|  0  |
25262	|  POURING A TO B 		|  32048	|  2999  |
25263	|  EMPTYING B 			|  32048	|  0  |
25264	|  POURING A TO B 		|  29049	|  2999  |
25265	|  EMPTYING B 			|  29049	|  0  |
25266	|  POURING A TO B 		|  26050	|  2999  |
25267	|  EMPTYING B 			|  26050	|  0  |
25268	|  POURING A TO B 		|  23051	|  2999  |
25269	|  EMPTYING B 			|  23051	|  0  |
25270	|  POURING A TO B 		|  20052	|  2999  |
25271	|  EMPTYING B 			|  20052	|  0  |
25272	|  POURING A TO B 		|  17053	|  2999  |
25273	|  EMPTYING B 			|  17053	|  0  |
25274	|  POURING A TO B 		|  14054	|  2999  |
25275	|  EMPTYING B 			|  14054	|  0  |
25276	|  POURING A TO B 		|  11055	|  2999  |
25277	|  EMPTYING B 			|  11055	|  0  |
25278	|  POURING A TO B 		|  8056	|  2999  |
25279	|  EMPTYING B 			|  8056	|  0  |
25280	|  POURING A TO B 		|  5057	|  2999  |
25281	|  EMPTYING B 			|  5057	|  0  |
25282	|  POURING A TO B 		|  2058	|  2999  |
25283	|  EMPTYING B 			|  2058	|  0  |
25284	|  POURING A TO B 		|  0	|  2058  |
25285	|  FILLING A FULLY		|  39989	|  2058  |
25286	|  POURING A TO B 		|  39048	|  2999  |
25287	|  EMPTYING B 			|  39048	|  0  |
25288	|  POURING A TO B 		|  36049	|  2999  |
25289	|  EMPTYING B 			|  36049	|  0  |
25290	|  POURING A TO B 		|  33050	|  2999  |
25291	|  EMPTYING B 			|  33050	|  0  |
25292	|  POURING A TO B 		|  30051	|  2999  |
25293	|  EMPTYING B 			|  30051	|  0  |
25294	|  POURING A TO B 		|  27052	|  2999  |
25295	|  EMPTYING B 			|  27052	|  0  |
25296	|  POURING A TO B 		|  24053	|  2999  |
25297	|  EMPTYING B 			|  24053	|  0  |
25298	|  POURING A TO B 		|  21054	|  2999  |
25299	|  EMPTYING B 			|  21054	|  0  |
25300	|  POURING A TO B 		|  18055	|  2999  |
25301	|  EMPTYING B 			|  18055	|  0  |
25302	|  POURING A TO B 		|  15056	|  2999  |
25303	|  EMPTYING B 			|  15056	|  0  |
25304	|  POURING A TO B 		|  12057	|  2999  |
25305	|  EMPTYING B 			|  12057	|  0  |
25306	|  POURING A TO B 		|  9058	|  2999  |
25307	|  EMPTYING B 			|  9058	|  0  |
25308	|  POURING A TO B 		|  6059	|  2999  |
25309	|  EMPTYING B 			|  6059	|  0  |
25310	|  POURING A TO B 		|  3060	|  2999  |
25311	|  EMPTYING B 			|  3060	|  0  |
25312	|  POURING A TO B 		|  61	|  2999  |
25313	|  EMPTYING B 			|  61	|  0  |
25314	|  POURING A TO B 		|  0	|  61  |
25315	|  FILLING A FULLY		|  39989	|  61  |
25316	|  POURING A TO B 		|  37051	|  2999  |
25317	|  EMPTYING B 			|  37051	|  0  |
25318	|  POURING A TO B 		|  34052	|  2999  |
25319	|  EMPTYING B 			|  34052	|  0  |
25320	|  POURING A TO B 		|  31053	|  2999  |
25321	|  EMPTYING B 			|  31053	|  0  |
25322	|  POURING A TO B 		|  28054	|  2999  |
25323	|  EMPTYING B 			|  28054	|  0  |
25324	|  POURING A TO B 		|  25055	|  2999  |
25325	|  EMPTYING B 			|  25055	|  0  |
25326	|  POURING A TO B 		|  22056	|  2999  |
25327	|  EMPTYING B 			|  22056	|  0  |
25328	|  POURING A TO B 		|  19057	|  2999  |
25329	|  EMPTYING B 			|  19057	|  0  |
25330	|  POURING A TO B 		|  16058	|  2999  |
25331	|  EMPTYING B 			|  16058	|  0  |
25332	|  POURING A TO B 		|  13059	|  2999  |
25333	|  EMPTYING B 			|  13059	|  0  |
25334	|  POURING A TO B 		|  10060	|  2999  |
25335	|  EMPTYING B 			|  10060	|  0  |
25336	|  POURING A TO B 		|  7061	|  2999  |
25337	|  EMPTYING B 			|  7061	|  0  |
25338	|  POURING A TO B 		|  4062	|  2999  |
25339	|  EMPTYING B 			|  4062	|  0  |
25340	|  POURING A TO B 		|  1063	|  2999  |
25341	|  EMPTYING B 			|  1063	|  0  |
25342	|  POURING A TO B 		|  0	|  1063  |
25343	|  FILLING A FULLY		|  39989	|  1063  |
25344	|  POURING A TO B 		|  38053	|  2999  |
25345	|  EMPTYING B 			|  38053	|  0  |
25346	|  POURING A TO B 		|  35054	|  2999  |
25347	|  EMPTYING B 			|  35054	|  0  |
25348	|  POURING A TO B 		|  32055	|  2999  |
25349	|  EMPTYING B 			|  32055	|  0  |
25350	|  POURING A TO B 		|  29056	|  2999  |
25351	|  EMPTYING B 			|  29056	|  0  |
25352	|  POURING A TO B 		|  26057	|  2999  |
25353	|  EMPTYING B 			|  26057	|  0  |
25354	|  POURING A TO B 		|  23058	|  2999  |
25355	|  EMPTYING B 			|  23058	|  0  |
25356	|  POURING A TO B 		|  20059	|  2999  |
25357	|  EMPTYING B 			|  20059	|  0  |
25358	|  POURING A TO B 		|  17060	|  2999  |
25359	|  EMPTYING B 			|  17060	|  0  |
25360	|  POURING A TO B 		|  14061	|  2999  |
25361	|  EMPTYING B 			|  14061	|  0  |
25362	|  POURING A TO B 		|  11062	|  2999  |
25363	|  EMPTYING B 			|  11062	|  0  |
25364	|  POURING A TO B 		|  8063	|  2999  |
25365	|  EMPTYING B 			|  8063	|  0  |
25366	|  POURING A TO B 		|  5064	|  2999  |
25367	|  EMPTYING B 			|  5064	|  0  |
25368	|  POURING A TO B 		|  2065	|  2999  |
25369	|  EMPTYING B 			|  2065	|  0  |
25370	|  POURING A TO B 		|  0	|  2065  |
25371	|  FILLING A FULLY		|  39989	|  2065  |
25372	|  POURING A TO B 		|  39055	|  2999  |
25373	|  EMPTYING B 			|  39055	|  0  |
25374	|  POURING A TO B 		|  36056	|  2999  |
25375	|  EMPTYING B 			|  36056	|  0  |
25376	|  POURING A TO B 		|  33057	|  2999  |
25377	|  EMPTYING B 			|  33057	|  0  |
25378	|  POURING A TO B 		|  30058	|  2999  |
25379	|  EMPTYING B 			|  30058	|  0  |
25380	|  POURING A TO B 		|  27059	|  2999  |
25381	|  EMPTYING B 			|  27059	|  0  |
25382	|  POURING A TO B 		|  24060	|  2999  |
25383	|  EMPTYING B 			|  24060	|  0  |
25384	|  POURING A TO B 		|  21061	|  2999  |
25385	|  EMPTYING B 			|  21061	|  0  |
25386	|  POURING A TO B 		|  18062	|  2999  |
25387	|  EMPTYING B 			|  18062	|  0  |
25388	|  POURING A TO B 		|  15063	|  2999  |
25389	|  EMPTYING B 			|  15063	|  0  |
25390	|  POURING A TO B 		|  12064	|  2999  |
25391	|  EMPTYING B 			|  12064	|  0  |
25392	|  POURING A TO B 		|  9065	|  2999  |
25393	|  EMPTYING B 			|  9065	|  0  |
25394	|  POURING A TO B 		|  6066	|  2999  |
25395	|  EMPTYING B 			|  6066	|  0  |
25396	|  POURING A TO B 		|  3067	|  2999  |
25397	|  EMPTYING B 			|  3067	|  0  |
25398	|  POURING A TO B 		|  68	|  2999  |
25399	|  EMPTYING B 			|  68	|  0  |
25400	|  POURING A TO B 		|  0	|  68  |
25401	|  FILLING A FULLY		|  39989	|  68  |
25402	|  POURING A TO B 		|  37058	|  2999  |
25403	|  EMPTYING B 			|  37058	|  0  |
25404	|  POURING A TO B 		|  34059	|  2999  |
25405	|  EMPTYING B 			|  34059	|  0  |
25406	|  POURING A TO B 		|  31060	|  2999  |
25407	|  EMPTYING B 			|  31060	|  0  |
25408	|  POURING A TO B 		|  28061	|  2999  |
25409	|  EMPTYING B 			|  28061	|  0  |
25410	|  POURING A TO B 		|  25062	|  2999  |
25411	|  EMPTYING B 			|  25062	|  0  |
25412	|  POURING A TO B 		|  22063	|  2999  |
25413	|  EMPTYING B 			|  22063	|  0  |
25414	|  POURING A TO B 		|  19064	|  2999  |
25415	|  EMPTYING B 			|  19064	|  0  |
25416	|  POURING A TO B 		|  16065	|  2999  |
25417	|  EMPTYING B 			|  16065	|  0  |
25418	|  POURING A TO B 		|  13066	|  2999  |
25419	|  EMPTYING B 			|  13066	|  0  |
25420	|  POURING A TO B 		|  10067	|  2999  |
25421	|  EMPTYING B 			|  10067	|  0  |
25422	|  POURING A TO B 		|  7068	|  2999  |
25423	|  EMPTYING B 			|  7068	|  0  |
25424	|  POURING A TO B 		|  4069	|  2999  |
25425	|  EMPTYING B 			|  4069	|  0  |
25426	|  POURING A TO B 		|  1070	|  2999  |
25427	|  EMPTYING B 			|  1070	|  0  |
25428	|  POURING A TO B 		|  0	|  1070  |
25429	|  FILLING A FULLY		|  39989	|  1070  |
25430	|  POURING A TO B 		|  38060	|  2999  |
25431	|  EMPTYING B 			|  38060	|  0  |
25432	|  POURING A TO B 		|  35061	|  2999  |
25433	|  EMPTYING B 			|  35061	|  0  |
25434	|  POURING A TO B 		|  32062	|  2999  |
25435	|  EMPTYING B 			|  32062	|  0  |
25436	|  POURING A TO B 		|  29063	|  2999  |
25437	|  EMPTYING B 			|  29063	|  0  |
25438	|  POURING A TO B 		|  26064	|  2999  |
25439	|  EMPTYING B 			|  26064	|  0  |
25440	|  POURING A TO B 		|  23065	|  2999  |
25441	|  EMPTYING B 			|  23065	|  0  |
25442	|  POURING A TO B 		|  20066	|  2999  |
25443	|  EMPTYING B 			|  20066	|  0  |
25444	|  POURING A TO B 		|  17067	|  2999  |
25445	|  EMPTYING B 			|  17067	|  0  |
25446	|  POURING A TO B 		|  14068	|  2999  |
25447	|  EMPTYING B 			|  14068	|  0  |
25448	|  POURING A TO B 		|  11069	|  2999  |
25449	|  EMPTYING B 			|  11069	|  0  |
25450	|  POURING A TO B 		|  8070	|  2999  |
25451	|  EMPTYING B 			|  8070	|  0  |
25452	|  POURING A TO B 		|  5071	|  2999  |
25453	|  EMPTYING B 			|  5071	|  0  |
25454	|  POURING A TO B 		|  2072	|  2999  |
25455	|  EMPTYING B 			|  2072	|  0  |
25456	|  POURING A TO B 		|  0	|  2072  |
25457	|  FILLING A FULLY		|  39989	|  2072  |
25458	|  POURING A TO B 		|  39062	|  2999  |
25459	|  EMPTYING B 			|  39062	|  0  |
25460	|  POURING A TO B 		|  36063	|  2999  |
25461	|  EMPTYING B 			|  36063	|  0  |
25462	|  POURING A TO B 		|  33064	|  2999  |
25463	|  EMPTYING B 			|  33064	|  0  |
25464	|  POURING A TO B 		|  30065	|  2999  |
25465	|  EMPTYING B 			|  30065	|  0  |
25466	|  POURING A TO B 		|  27066	|  2999  |
25467	|  EMPTYING B 			|  27066	|  0  |
25468	|  POURING A TO B 		|  24067	|  2999  |
25469	|  EMPTYING B 			|  24067	|  0  |
25470	|  POURING A TO B 		|  21068	|  2999  |
25471	|  EMPTYING B 			|  21068	|  0  |
25472	|  POURING A TO B 		|  18069	|  2999  |
25473	|  EMPTYING B 			|  18069	|  0  |
25474	|  POURING A TO B 		|  15070	|  2999  |
25475	|  EMPTYING B 			|  15070	|  0  |
25476	|  POURING A TO B 		|  12071	|  2999  |
25477	|  EMPTYING B 			|  12071	|  0  |
25478	|  POURING A TO B 		|  9072	|  2999  |
25479	|  EMPTYING B 			|  9072	|  0  |
25480	|  POURING A TO B 		|  6073	|  2999  |
25481	|  EMPTYING B 			|  6073	|  0  |
25482	|  POURING A TO B 		|  3074	|  2999  |
25483	|  EMPTYING B 			|  3074	|  0  |
25484	|  POURING A TO B 		|  75	|  2999  |
25485	|  EMPTYING B 			|  75	|  0  |
25486	|  POURING A TO B 		|  0	|  75  |
25487	|  FILLING A FULLY		|  39989	|  75  |
25488	|  POURING A TO B 		|  37065	|  2999  |
25489	|  EMPTYING B 			|  37065	|  0  |
25490	|  POURING A TO B 		|  34066	|  2999  |
25491	|  EMPTYING B 			|  34066	|  0  |
25492	|  POURING A TO B 		|  31067	|  2999  |
25493	|  EMPTYING B 			|  31067	|  0  |
25494	|  POURING A TO B 		|  28068	|  2999  |
25495	|  EMPTYING B 			|  28068	|  0  |
25496	|  POURING A TO B 		|  25069	|  2999  |
25497	|  EMPTYING B 			|  25069	|  0  |
25498	|  POURING A TO B 		|  22070	|  2999  |
25499	|  EMPTYING B 			|  22070	|  0  |
25500	|  POURING A TO B 		|  19071	|  2999  |
25501	|  EMPTYING B 			|  19071	|  0  |
25502	|  POURING A TO B 		|  16072	|  2999  |
25503	|  EMPTYING B 			|  16072	|  0  |
25504	|  POURING A TO B 		|  13073	|  2999  |
25505	|  EMPTYING B 			|  13073	|  0  |
25506	|  POURING A TO B 		|  10074	|  2999  |
25507	|  EMPTYING B 			|  10074	|  0  |
25508	|  POURING A TO B 		|  7075	|  2999  |
25509	|  EMPTYING B 			|  7075	|  0  |
25510	|  POURING A TO B 		|  4076	|  2999  |
25511	|  EMPTYING B 			|  4076	|  0  |
25512	|  POURING A TO B 		|  1077	|  2999  |
25513	|  EMPTYING B 			|  1077	|  0  |
25514	|  POURING A TO B 		|  0	|  1077  |
25515	|  FILLING A FULLY		|  39989	|  1077  |
25516	|  POURING A TO B 		|  38067	|  2999  |
25517	|  EMPTYING B 			|  38067	|  0  |
25518	|  POURING A TO B 		|  35068	|  2999  |
25519	|  EMPTYING B 			|  35068	|  0  |
25520	|  POURING A TO B 		|  32069	|  2999  |
25521	|  EMPTYING B 			|  32069	|  0  |
25522	|  POURING A TO B 		|  29070	|  2999  |
25523	|  EMPTYING B 			|  29070	|  0  |
25524	|  POURING A TO B 		|  26071	|  2999  |
25525	|  EMPTYING B 			|  26071	|  0  |
25526	|  POURING A TO B 		|  23072	|  2999  |
25527	|  EMPTYING B 			|  23072	|  0  |
25528	|  POURING A TO B 		|  20073	|  2999  |
25529	|  EMPTYING B 			|  20073	|  0  |
25530	|  POURING A TO B 		|  17074	|  2999  |
25531	|  EMPTYING B 			|  17074	|  0  |
25532	|  POURING A TO B 		|  14075	|  2999  |
25533	|  EMPTYING B 			|  14075	|  0  |
25534	|  POURING A TO B 		|  11076	|  2999  |
25535	|  EMPTYING B 			|  11076	|  0  |
25536	|  POURING A TO B 		|  8077	|  2999  |
25537	|  EMPTYING B 			|  8077	|  0  |
25538	|  POURING A TO B 		|  5078	|  2999  |
25539	|  EMPTYING B 			|  5078	|  0  |
25540	|  POURING A TO B 		|  2079	|  2999  |
25541	|  EMPTYING B 			|  2079	|  0  |
25542	|  POURING A TO B 		|  0	|  2079  |
25543	|  FILLING A FULLY		|  39989	|  2079  |
25544	|  POURING A TO B 		|  39069	|  2999  |
25545	|  EMPTYING B 			|  39069	|  0  |
25546	|  POURING A TO B 		|  36070	|  2999  |
25547	|  EMPTYING B 			|  36070	|  0  |
25548	|  POURING A TO B 		|  33071	|  2999  |
25549	|  EMPTYING B 			|  33071	|  0  |
25550	|  POURING A TO B 		|  30072	|  2999  |
25551	|  EMPTYING B 			|  30072	|  0  |
25552	|  POURING A TO B 		|  27073	|  2999  |
25553	|  EMPTYING B 			|  27073	|  0  |
25554	|  POURING A TO B 		|  24074	|  2999  |
25555	|  EMPTYING B 			|  24074	|  0  |
25556	|  POURING A TO B 		|  21075	|  2999  |
25557	|  EMPTYING B 			|  21075	|  0  |
25558	|  POURING A TO B 		|  18076	|  2999  |
25559	|  EMPTYING B 			|  18076	|  0  |
25560	|  POURING A TO B 		|  15077	|  2999  |
25561	|  EMPTYING B 			|  15077	|  0  |
25562	|  POURING A TO B 		|  12078	|  2999  |
25563	|  EMPTYING B 			|  12078	|  0  |
25564	|  POURING A TO B 		|  9079	|  2999  |
25565	|  EMPTYING B 			|  9079	|  0  |
25566	|  POURING A TO B 		|  6080	|  2999  |
25567	|  EMPTYING B 			|  6080	|  0  |
25568	|  POURING A TO B 		|  3081	|  2999  |
25569	|  EMPTYING B 			|  3081	|  0  |
25570	|  POURING A TO B 		|  82	|  2999  |
25571	|  EMPTYING B 			|  82	|  0  |
25572	|  POURING A TO B 		|  0	|  82  |
25573	|  FILLING A FULLY		|  39989	|  82  |
25574	|  POURING A TO B 		|  37072	|  2999  |
25575	|  EMPTYING B 			|  37072	|  0  |
25576	|  POURING A TO B 		|  34073	|  2999  |
25577	|  EMPTYING B 			|  34073	|  0  |
25578	|  POURING A TO B 		|  31074	|  2999  |
25579	|  EMPTYING B 			|  31074	|  0  |
25580	|  POURING A TO B 		|  28075	|  2999  |
25581	|  EMPTYING B 			|  28075	|  0  |
25582	|  POURING A TO B 		|  25076	|  2999  |
25583	|  EMPTYING B 			|  25076	|  0  |
25584	|  POURING A TO B 		|  22077	|  2999  |
25585	|  EMPTYING B 			|  22077	|  0  |
25586	|  POURING A TO B 		|  19078	|  2999  |
25587	|  EMPTYING B 			|  19078	|  0  |
25588	|  POURING A TO B 		|  16079	|  2999  |
25589	|  EMPTYING B 			|  16079	|  0  |
25590	|  POURING A TO B 		|  13080	|  2999  |
25591	|  EMPTYING B 			|  13080	|  0  |
25592	|  POURING A TO B 		|  10081	|  2999  |
25593	|  EMPTYING B 			|  10081	|  0  |
25594	|  POURING A TO B 		|  7082	|  2999  |
25595	|  EMPTYING B 			|  7082	|  0  |
25596	|  POURING A TO B 		|  4083	|  2999  |
25597	|  EMPTYING B 			|  4083	|  0  |
25598	|  POURING A TO B 		|  1084	|  2999  |
25599	|  EMPTYING B 			|  1084	|  0  |
25600	|  POURING A TO B 		|  0	|  1084  |
25601	|  FILLING A FULLY		|  39989	|  1084  |
25602	|  POURING A TO B 		|  38074	|  2999  |
25603	|  EMPTYING B 			|  38074	|  0  |
25604	|  POURING A TO B 		|  35075	|  2999  |
25605	|  EMPTYING B 			|  35075	|  0  |
25606	|  POURING A TO B 		|  32076	|  2999  |
25607	|  EMPTYING B 			|  32076	|  0  |
25608	|  POURING A TO B 		|  29077	|  2999  |
25609	|  EMPTYING B 			|  29077	|  0  |
25610	|  POURING A TO B 		|  26078	|  2999  |
25611	|  EMPTYING B 			|  26078	|  0  |
25612	|  POURING A TO B 		|  23079	|  2999  |
25613	|  EMPTYING B 			|  23079	|  0  |
25614	|  POURING A TO B 		|  20080	|  2999  |
25615	|  EMPTYING B 			|  20080	|  0  |
25616	|  POURING A TO B 		|  17081	|  2999  |
25617	|  EMPTYING B 			|  17081	|  0  |
25618	|  POURING A TO B 		|  14082	|  2999  |
25619	|  EMPTYING B 			|  14082	|  0  |
25620	|  POURING A TO B 		|  11083	|  2999  |
25621	|  EMPTYING B 			|  11083	|  0  |
25622	|  POURING A TO B 		|  8084	|  2999  |
25623	|  EMPTYING B 			|  8084	|  0  |
25624	|  POURING A TO B 		|  5085	|  2999  |
25625	|  EMPTYING B 			|  5085	|  0  |
25626	|  POURING A TO B 		|  2086	|  2999  |
25627	|  EMPTYING B 			|  2086	|  0  |
25628	|  POURING A TO B 		|  0	|  2086  |
25629	|  FILLING A FULLY		|  39989	|  2086  |
25630	|  POURING A TO B 		|  39076	|  2999  |
25631	|  EMPTYING B 			|  39076	|  0  |
25632	|  POURING A TO B 		|  36077	|  2999  |
25633	|  EMPTYING B 			|  36077	|  0  |
25634	|  POURING A TO B 		|  33078	|  2999  |
25635	|  EMPTYING B 			|  33078	|  0  |
25636	|  POURING A TO B 		|  30079	|  2999  |
25637	|  EMPTYING B 			|  30079	|  0  |
25638	|  POURING A TO B 		|  27080	|  2999  |
25639	|  EMPTYING B 			|  27080	|  0  |
25640	|  POURING A TO B 		|  24081	|  2999  |
25641	|  EMPTYING B 			|  24081	|  0  |
25642	|  POURING A TO B 		|  21082	|  2999  |
25643	|  EMPTYING B 			|  21082	|  0  |
25644	|  POURING A TO B 		|  18083	|  2999  |
25645	|  EMPTYING B 			|  18083	|  0  |
25646	|  POURING A TO B 		|  15084	|  2999  |
25647	|  EMPTYING B 			|  15084	|  0  |
25648	|  POURING A TO B 		|  12085	|  2999  |
25649	|  EMPTYING B 			|  12085	|  0  |
25650	|  POURING A TO B 		|  9086	|  2999  |
25651	|  EMPTYING B 			|  9086	|  0  |
25652	|  POURING A TO B 		|  6087	|  2999  |
25653	|  EMPTYING B 			|  6087	|  0  |
25654	|  POURING A TO B 		|  3088	|  2999  |
25655	|  EMPTYING B 			|  3088	|  0  |
25656	|  POURING A TO B 		|  89	|  2999  |
25657	|  EMPTYING B 			|  89	|  0  |
25658	|  POURING A TO B 		|  0	|  89  |
25659	|  FILLING A FULLY		|  39989	|  89  |
25660	|  POURING A TO B 		|  37079	|  2999  |
25661	|  EMPTYING B 			|  37079	|  0  |
25662	|  POURING A TO B 		|  34080	|  2999  |
25663	|  EMPTYING B 			|  34080	|  0  |
25664	|  POURING A TO B 		|  31081	|  2999  |
25665	|  EMPTYING B 			|  31081	|  0  |
25666	|  POURING A TO B 		|  28082	|  2999  |
25667	|  EMPTYING B 			|  28082	|  0  |
25668	|  POURING A TO B 		|  25083	|  2999  |
25669	|  EMPTYING B 			|  25083	|  0  |
25670	|  POURING A TO B 		|  22084	|  2999  |
25671	|  EMPTYING B 			|  22084	|  0  |
25672	|  POURING A TO B 		|  19085	|  2999  |
25673	|  EMPTYING B 			|  19085	|  0  |
25674	|  POURING A TO B 		|  16086	|  2999  |
25675	|  EMPTYING B 			|  16086	|  0  |
25676	|  POURING A TO B 		|  13087	|  2999  |
